OBJECTID,COUNTYNBR,NAME,COUNTYSEAT,SHORTDESC,UPDATED,FIPS,ENTITYNBR,SALESTAXID,IMSCOLOR,MINNAME,POPLASTCENSUS,POPLASTESTIMATE,UGRCODE,GNIS,GlobalID,Shape__Area,Shape__Length
142,26,Park City,0,PARK CITY (WASATCH CO),9/23/2011 12:00:00 AM,58070,3060,013,1,Park City,8396,8374,PKC,1444206,2456cbf4-9b9a-4b03-a72a-69783f1d3182,1965126.5703125,9471.24593414698
143,06,Clinton,0,CLINTON,,14290,3040,059,3, ,23386,23538,CLI,1426725,be5a991f-47f6-4fa7-b5fa-75afc21c8153,27255882.6601563,27734.8989060999
144,21,Koosharem,0,KOOSHAREM TOWN,6/16/2026 12:00:00 AM,41680,3060,029,3, ,244,251,KOO,1442357,f37579cb-97b7-4899-84a1-29a55a83207b,4318900.38250542,12185.0105633242
145,02,Brigham City,1,BRIGHAM CITY,8/11/2025 12:00:00 AM,08460,3020,017,2,Brigham,19650,19963,BGM,1439109,00aabd51-7530-4360-889a-3b16e6dcd652,121841930.239209,93508.2068514379
146,03,Providence,0,PROVIDENCE,12/7/2022 12:00:00 AM,62360,3140,056,3, ,8218,8995,PVD,1444657,53ac4a2d-cec0-4671-9059-c004a7fce364,18759409.6953125,23995.4234958568
147,18,South Salt Lake,0,SOUTH SALT LAKE CITY,11/14/2018 12:00:00 AM,71070,3100,139,1,South Salt Lake,26777,26003,SSL,1432753,6ec6dd5f-4396-4875-bad7-6039ff772e84,31314557.2851563,26386.4943296018
148,08,Castle Dale,1,CASTLE DALE,3/23/2022 12:00:00 AM,10660,3010,001,1,Castle Dale,1492,1530,CDL,1426380,794bf54c-f116-4bcd-ab6d-e41c6c0266f2,9759296.82421875,22193.2607579792
149,02,Honeyville,0,HONEYVILLE CITY,5/25/2012 12:00:00 AM,36290,3080,054,1, ,1606,1725,HON,1428800,ea018935-9964-4bf8-a4c5-cffe3c1894b6,54416686.5234375,44445.8554903043
150,11,Kanarraville,0,KANARRAVILLE,12/15/2010 12:00:00 AM,40030,3040,012,3, ,442,467,KNV,1429278,947e3cfe-f64e-4f3f-8d38-0a4b244f2ad8,1786502.1953125,6325.89913567822
151,06,North Salt Lake,0,CITY OF NORTH SALT LAKE,1/4/2023 12:00:00 AM,55210,3090,035,1, ,21907,22537,NSL,1443971,34130ae8-bc6e-416c-ba4b-596853a32c3e,39380300.0585938,40983.1902032227
152,20,Mayfield,0,MAYFIELD,4/5/2019 12:00:00 AM,48720,3080,021,3, ,556,583,MAY,1443237,e3c43999-82f1-4b4e-bdc8-c23739943154,3875916.82421875,14815.9747921935
153,20,Moroni,0,MORONI,2/2/2012 12:00:00 AM,52130,3090,023,1, ,1544,1617,MRI,1430498,b1724363-30d0-4d66-a6c4-0850004e1bfe,4639207.41796875,10455.5677336465
154,22,Henefer,0,HENEFER,10/14/2025 12:00:00 AM,34640,3030,017,2, ,838,837,HNF,1428658,6ddcda4c-606a-4a72-bacc-cee287fa1ee9,11466118.140625,33931.4392358512
155,14,Scipio,0,SCIPIO,,67880,3100,040,4,Scipio,353,366,SCI,1445376,3964df2e-66e0-44a8-9361-10af3713b2d3,4469919.69140625,12496.5333658821
156,01,Milford,0,MILFORD,4/14/2014 12:00:00 AM,50040,3020,008,2,Milford,1431,1454,MLF,1430317,796905ae-f3c1-49ae-92da-6e806cd4be95,8927543.63671875,18338.1337301293
157,06,Farmington,1,FARMINGTON,8/15/2022 12:00:00 AM,24740,3050,017,3,Farmington,24531,25660,FRM,1441004,2604fb6d-f678-4d80-ada8-659bdc5e4f28,45680199.5390625,41646.1995800114
158,28,Bicknell,0,BICKNELL,11/4/2010 12:00:00 AM,05490,3010,001,1, ,323,337,BIC,1438623,d14a1a5f-d3fc-47e2-a781-8544ad074e8e,2417894.66796875,8842.08852121288
